element,key,ref,type,tagged_content,date,source_file
orgName,,,,the Paris Review’s,,WWaW_Atwood-Intro.xml
persName,Dorothy Parker,http://www.wikidata.org/entity/Q270707,,Dorothy Parker,,WWaW_Atwood-Intro.xml
persName,Nadine Gordimer,http://www.wikidata.org/entity/Q47619,,Nadine Gordimer,,WWaW_Atwood-Intro.xml
persName,"Moore, Marianne, 1887-1972.",http://viaf.org/viaf/61562401,,Marianne Moore,,WWaW_Atwood-Intro.xml
persName,Katherine Anne Porter,http://www.wikidata.org/entity/Q236958,,Katherine Anne Porter,,WWaW_Atwood-Intro.xml
persName,"Milton, John, 1608-1674.",http://viaf.org/viaf/17226855,,Milton,,WWaW_Atwood-Intro.xml
persName,Jan Morris,http://www.wikidata.org/entity/Q3395844,,Jan Morris,,WWaW_Atwood-Intro.xml
persName,Jan Morris,http://www.wikidata.org/entity/Q3395844,,James Morris,,WWaW_Atwood-Intro.xml
persName,Nayantara Sahgal,http://www.wikidata.org/entity/Q448399,,Nayantara Sahgal,,WWaW_Atwood-Intro.xml
persName,Jan Morris,http://www.wikidata.org/entity/Q3395844,,Jan Morris,,WWaW_Atwood-Intro.xml
persName,Nayantara Sahgal,http://www.wikidata.org/entity/Q448399,,Nayantara Sahgal,,WWaW_Atwood-Intro.xml
persName,Dorothy Parker,http://www.wikidata.org/entity/Q270707,,Dorothy Parker,,WWaW_Atwood-Intro.xml
persName,Virginia Woolf,http://www.wikidata.org/entity/Q40909,,Virginia Woolf,,WWaW_Atwood-Intro.xml
persName,Nadine Gordimer,http://www.wikidata.org/entity/Q47619,,Nadine Gordimer,,WWaW_Atwood-Intro.xml
persName,Joyce Carol Oates,http://www.wikidata.org/entity/Q217557,,Joyce Carol Oates,,WWaW_Atwood-Intro.xml
persName,Joan Didion,http://www.wikidata.org/entity/Q267691,,Joan Didion,,WWaW_Atwood-Intro.xml
placeName,Africa,http://www.wikidata.org/entity/Q15,,Africa,,WWaW_Atwood-Intro.xml
placeName,Paris,http://www.wikidata.org/entity/Q90,,Paris,,WWaW_Atwood-Intro.xml
persName,Carson McCullers,http://www.wikidata.org/entity/Q230591,,Carson McCullers,,WWaW_Atwood-Intro.xml
persName,Jane Bowles,http://www.wikidata.org/entity/Q120432,,Jane Bowles,,WWaW_Atwood-Intro.xml
persName,Flannery O'Connor,http://www.wikidata.org/entity/Q234579,,Flannery O'Connor,,WWaW_Atwood-Intro.xml
persName,Marianne Moore,http://www.wikidata.org/entity/Q278495,,Marianne Moore,,WWaW_Atwood-Intro.xml
placeName,Greenwich Village,http://www.wikidata.org/entity/Q205380,,Village,,WWaW_Atwood-Intro.xml
persName,Ezra Pound,http://www.wikidata.org/entity/Q163366,,Ezra Pound,,WWaW_Atwood-Intro.xml
persName,Edna O'Brien,http://www.wikidata.org/entity/Q178225,,Edna O'Brien,,WWaW_Atwood-Intro.xml
persName,Katherine Anne Porter,http://www.wikidata.org/entity/Q236958,,Katherine Anne Porter,,WWaW_Atwood-Intro.xml
persName,Katherine Anne Porter,http://www.wikidata.org/entity/Q236958,,Katherine Anne Porter’s,,WWaW_Atwood-Intro.xml
persName,Mary McCarthy,http://www.wikidata.org/entity/Q268147,,Mary McCarthy,,WWaW_Atwood-Intro.xml
persName,Mary McCarthy,http://www.wikidata.org/entity/Q268147,,McCarthy,,WWaW_Atwood-Intro.xml
persName,Virginia Woolf,http://www.wikidata.org/entity/Q40909,,Virginia Woolf,,WWaW_Atwood-Intro.xml
persName,Katherine Mansfield,http://www.wikidata.org/entity/Q270632,,Katherine Mansfield,,WWaW_Atwood-Intro.xml
persName,Elizabeth Bowen,http://www.wikidata.org/entity/Q235308,,Elizabeth Bowen,,WWaW_Atwood-Intro.xml
persName,Katherine Anne Porter,http://www.wikidata.org/entity/Q236958,,Katherine Anne Porter,,WWaW_Atwood-Intro.xml
persName,Katherine Anne Porter,http://www.wikidata.org/entity/Q236958,,Katherine Anne Porter,,WWaW_Atwood-Intro.xml
persName,Eudora Welty,http://www.wikidata.org/entity/Q259364,,Eudora Welty,,WWaW_Atwood-Intro.xml
persName,Elizabeth Bowen,http://www.wikidata.org/entity/Q235308,,Elizabeth Bowen,,WWaW_Atwood-Intro.xml
persName,Cynthia Ozick,http://www.wikidata.org/entity/Q444849,,Cynthia Ozick,,WWaW_Atwood-Intro.xml
persName,Cynthia Ozick,http://www.wikidata.org/entity/Q444849,,Cynthia Ozick,,WWaW_Atwood-Intro.xml
persName,Edith Wharton,http://www.wikidata.org/entity/Q276032,,Wharton,,WWaW_Atwood-Intro.xml
persName,Virginia Woolf,http://www.wikidata.org/entity/Q40909,,Woolf,,WWaW_Atwood-Intro.xml
persName,Mary McCarthy,http://www.wikidata.org/entity/Q268147,,McCarthy,,WWaW_Atwood-Intro.xml
persName,Edna O'Brien,http://www.wikidata.org/entity/Q178225,,Edna O'Brien,,WWaW_Atwood-Intro.xml
persName,Alice Munro,http://www.wikidata.org/entity/Q234819,,Alice Munro,,WWaW_Atwood-Intro.xml
persName,Anita Desai,http://www.wikidata.org/entity/Q268495,,Anita Desai,,WWaW_Atwood-Intro.xml
persName,Isabel Allende,http://www.wikidata.org/entity/Q83566,,Isabel Allende,,WWaW_Atwood-Intro.xml
persName,Toni Morrison,http://www.wikidata.org/entity/Q72334,,Toni Morrison,,WWaW_Atwood-Intro.xml
persName,Marilyn French,,,Marilyn French,,WWaW_Atwood-Intro.xml
persName,Marge Piercey,https://www.wikidata.org/wiki/Q273385,,Marge Piercey,,WWaW_Atwood-Intro.xml
persName,Fay Weldon,https://www.wikidata.org/wiki/Q239501,,Fay Weldon,,WWaW_Atwood-Intro.xml
persName,Adrienne Rich,http://www.wikidata.org/entity/Q270705,,Adrienne Rich,,WWaW_Atwood-Intro.xml
persName,Judith Rossner,https://www.wikidata.org/wiki/Q10312711,,Judith Rossner,,WWaW_Atwood-Intro.xml
persName,Joyce Carol Oates,http://www.wikidata.org/entity/Q217557,,Joyce Carol Oates,,WWaW_Atwood-Intro.xml
persName,Gustave Flaubert,http://www.wikidata.org/entity/Q43444,,Flaubert,,WWaW_Atwood-Intro.xml
persName,Dorothy Parker,http://www.wikidata.org/entity/Q270707,,Dorothy Parker,,WWaW_Atwood-Intro.xml
persName,Margaret Atwood,http://www.wikidata.org/entity/Q183492,,MARGARET ATWOOD,,WWaW_Atwood-Intro.xml
